Vf,theta,F,tip_deflection,max_stress
0.3,0.0,500.0,6.870649556500143e-05,362897.0698445663
0.3,0.0,1400.0,0.0001923781875820037,1016111.7955647857
0.3,0.0,2300.0,0.00031604987959900615,1669326.5212850047
0.3,0.0,3200.0,0.00043972157161600877,2322541.247005224
0.3,0.0,4100.0,0.0005633932636330114,2975755.972725443
0.3,0.0,5000.0,0.0006870649556500136,3628970.6984456633
0.3,15.0,500.0,0.00010981013749521055,433263.7546952382
0.3,15.0,1400.0,0.0003074683849865899,1213138.5131466668
0.3,15.0,2300.0,0.0005051266324779689,1993013.2715980948
0.3,15.0,3200.0,0.0007027848799693475,2772888.0300495224
0.3,15.0,4100.0,0.0009004431274607266,3552762.7885009516
0.3,15.0,5000.0,0.001098101374952106,4332637.546952379
0.3,30.0,500.0,0.00019935845139652924,478575.31784718117
0.3,30.0,1400.0,0.0005582036639102816,1340010.8899721063
0.3,30.0,2300.0,0.0009170488764240341,2201446.462097029
0.3,30.0,3200.0,0.00127589408893779,3062882.034221955
0.3,30.0,4100.0,0.001634739301451542,3924317.606346884
0.3,30.0,5000.0,0.001993584513965293,4785753.1784718055
0.3,45.0,500.0,0.00025849346856131106,448617.87216776743
0.3,45.0,1400.0,0.0007237817119716711,1256130.0420697478
0.3,45.0,2300.0,0.0011890699553820292,2063642.2119717265
0.3,45.0,3200.0,0.001654358198792387,2871154.381873714
0.3,45.0,4100.0,0.002119646442202751,3678666.5517756883
0.3,45.0,5000.0,0.0025849346856131037,4486178.721677662
0.3,60.0,500.0,0.0002767131686326922,388500.10790045746
0.3,60.0,1400.0,0.0007747968721715411,1087800.3021212816
0.3,60.0,2300.0,0.0012728805757103846,1787100.496342106
0.3,60.0,3200.0,0.001770964279249234,2486400.6905629328
0.3,60.0,4100.0,0.0022690479827880837,3185700.884783757
0.3,60.0,5000.0,0.002767131686326932,3885001.0790045746
0.3,75.0,500.0,0.00028887255583081347,306708.4335216331
0.3,75.0,1400.0,0.0008088431563262759,858783.6138605732
0.3,75.0,2300.0,0.0013288137568217375,1410858.79419951
0.3,75.0,3200.0,0.0018487843573172038,1962933.974538453
0.3,75.0,4100.0,0.0023687549578126606,2515009.154877396
0.3,75.0,5000.0,0.0028887255583081328,3067084.3352163383
0.3,90.0,500.0,0.0002970213380029922,290339.57233503676
0.3,90.0,1400.0,0.0008316597464083794,812950.8025381032
0.3,90.0,2300.0,0.0013662981548137644,1335562.032741168
0.3,90.0,3200.0,0.001900936563219153,1858173.2629442369
0.3,90.0,4100.0,0.0024355749716245432,2380784.493147303
0.3,90.0,5000.0,0.002970213380029925,2903395.723350369
0.4,0.0,500.0,5.392047952913476e-05,366740.4102246658
0.4,0.0,1400.0,0.00015097734268157723,1026873.1486290641
0.4,0.0,2300.0,0.0002480342058340199,1687005.8870334632
0.4,0.0,3200.0,0.0003450910689864628,2347138.6254378636
0.4,0.0,4100.0,0.00044214793213890523,3007271.3638422596
0.4,0.0,5000.0,0.0005392047952913473,3667404.102246657
0.4,15.0,500.0,9.014709194059929e-05,448418.6224991788
0.4,15.0,1400.0,0.00025241185743367774,1255572.1429977
0.4,15.0,2300.0,0.0004146766229267572,2062725.6634962247
0.4,15.0,3200.0,0.0005769413884198353,2869879.1839947444
0.4,15.0,4100.0,0.0007392061539129136,3677032.704493268
0.4,15.0,5000.0,0.0009014709194059916,4484186.224991787
0.4,30.0,500.0,0.00017008021064449563,497578.8550895461
0.4,30.0,1400.0,0.00047622458980458904,1393220.7942507314
0.4,30.0,2300.0,0.0007823689689646822,2288862.7334119147
0.4,30.0,3200.0,0.0010885133481247753,3184504.672573101
0.4,30.0,4100.0,0.0013946577272848665,4080146.611734278
0.4,30.0,5000.0,0.001700802106444959,4975788.550895463
0.4,45.0,500.0,0.00022124204594109646,468764.1680986514
0.4,45.0,1400.0,0.0006194777286350691,1312539.6706762265
0.4,45.0,2300.0,0.0010177134113290409,2156315.173253797
0.4,45.0,3200.0,0.001415949094023015,3000090.6758313687
0.4,45.0,4100.0,0.001814184776716988,3843866.178408947
0.4,45.0,5000.0,0.0022124204594109642,4687641.680986519
0.4,60.0,500.0,0.0002363303833164993,408251.88783800474
0.4,60.0,1400.0,0.0006617250732861982,1143105.2859464148
0.4,60.0,2300.0,0.0010871197632559002,1877958.684054827
0.4,60.0,3200.0,0.001512514453225594,2612812.082163236
0.4,60.0,4100.0,0.0019379091431952996,3347665.480271641
0.4,60.0,5000.0,0.00236330383316499,4082518.8783800504
0.4,75.0,500.0,0.0002486037703430626,307189.5920398005
0.4,75.0,1400.0,0.0006960905569605776,860130.857711441
0.4,75.0,2300.0,0.0011435773435780892,1413072.1233830838
0.4,75.0,3200.0,0.0015910641301956074,1966013.3890547238
0.4,75.0,4100.0,0.0020385509168131125,2518954.6547263646
0.4,75.0,5000.0,0.002486037703430632,3071895.9203980067
0.4,90.0,500.0,0.0002575510258489727,290480.07423567184
0.4,90.0,1400.0,0.000721142872377123,813344.2078598823
0.4,90.0,2300.0,0.001184734718905277,1336208.3414840917
0.4,90.0,3200.0,0.001648326565433428,1859072.4751083043
0.4,90.0,4100.0,0.0021119184119615816,2381936.608732515
0.4,90.0,5000.0,0.002575510258489724,2904800.7423567213
0.5,0.0,500.0,4.425315005009314e-05,368064.1709237612
0.5,0.0,1400.0,0.0001239088201402608,1030579.678586532
0.5,0.0,2300.0,0.00020356449023042813,1693095.186249301
0.5,0.0,3200.0,0.0002832201603205962,2355610.6939120735
0.5,0.0,4100.0,0.0003628758304107638,3018126.2015748424
0.5,0.0,5000.0,0.00044253150050093103,3680641.709237614
